fecha,tipo_vuelo,categoria,aeronave,semana,num_operaciones
2022-05-14,Llegada,Comercial,Avión,8,6
2022-05-14,Salida,Comercial,Avión,8,6
2022-05-14,Salida,Privado,Avión,8,1
2022-05-15,Llegada,Comercial,Avión,8,5
2022-05-15,Llegada,Privado,Avión,8,1
2022-05-15,Salida,Comercial,Avión,8,5
2022-05-16,Llegada,Comercial,Avión,9,6
2022-05-16,Llegada,FAM,Avión,9,2
2022-05-16,Salida,Comercial,Avión,9,6
2022-05-17,Llegada,Comercial,Avión,9,6
2022-05-17,Llegada,FAM,Avión,9,2
2022-05-17,Llegada,Privado,Avión,9,2
2022-05-17,Salida,Comercial,Avión,9,6
2022-05-17,Salida,FAM,Avión,9,2
2022-05-18,Llegada,Comercial,Avión,9,6
2022-05-18,Salida,Comercial,Avión,9,6
2022-05-18,Salida,Privado,Avión,9,1
2022-05-19,Llegada,Comercial,Avión,9,6
2022-05-19,Llegada,FAM,Avión,9,1
2022-05-19,Llegada,Privado,Avión,9,1
2022-05-19,Salida,Comercial,Avión,9,6
2022-05-19,Salida,FAM,Avión,9,3
2022-05-19,Salida,Privado,Avión,9,1
2022-05-20,Llegada,Comercial,Avión,9,6
2022-05-20,Llegada,FAM,Avión,9,2
2022-05-20,Llegada,Privado,Avión,9,1
2022-05-20,Salida,Comercial,Avión,9,6
2022-05-20,Salida,FAM,Avión,9,1
2022-05-20,Salida,Privado,Avión,9,1
2022-05-21,Llegada,Comercial,Avión,9,6
2022-05-21,Salida,Comercial,Avión,9,6
2022-05-21,Salida,FAM,Avión,9,1
2022-05-22,Llegada,Comercial,Avión,9,6
2022-05-22,Salida,Comercial,Avión,9,6
2022-05-23,Llegada,Comercial,Avión,10,6
2022-05-23,Salida,Comercial,Avión,10,6
2022-05-24,Llegada,Comercial,Avión,10,7
2022-05-24,Llegada,FAM,Avión,10,1
2022-05-24,Salida,Comercial,Avión,10,6
2022-05-25,Llegada,Comercial,Avión,10,6
2022-05-25,Llegada,FAM,Avión,10,1
2022-05-25,Llegada,Privado,Avión,10,1
2022-05-25,Salida,Comercial,Avión,10,7
2022-05-25,Salida,FAM,Avión,10,1
2022-05-25,Salida,Privado,Avión,10,1
2022-05-26,Llegada,Comercial,Avión,10,6
2022-05-26,Llegada,FAM,Avión,10,1
2022-05-26,Llegada,Privado,Avión,10,1
2022-05-26,Salida,Comercial,Avión,10,6
2022-05-26,Salida,FAM,Avión,10,1
2022-05-27,Llegada,Comercial,Avión,10,6
2022-05-27,Llegada,FAM,Avión,10,1
2022-05-27,Llegada,Privado,Avión,10,1
2022-05-27,Salida,Comercial,Avión,10,6
2022-05-27,Salida,FAM,Avión,10,1
2022-05-27,Salida,Privado,Avión,10,1
2022-05-28,Llegada,Comercial,Avión,10,6
2022-05-28,Llegada,Privado,Avión,10,1
2022-05-28,Salida,Comercial,Avión,10,6
2022-05-28,Salida,Privado,Avión,10,2
2022-05-29,Llegada,Comercial,Avión,10,6
2022-05-29,Llegada,Privado,Avión,10,4
2022-05-29,Salida,Comercial,Avión,10,6
