año,mes,mes_numero,tipo,origen,destino,compañia,tipo_avion,capacidad,fuente
2022,Octubre,10,Salida,AIFA,Mexicali,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,Mexicali,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,Mexicali,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2023,Enero,1,Salida,AIFA,Mexicali,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Septiembre,9,Salida,AIFA,Guadalajara,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Salida,AIFA,Guadalajara,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,Guadalajara,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,Guadalajara,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Salida,AIFA,Guadalajara,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Salida,AIFA,Pto. Vallarta,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Salida,AIFA,Pto. Vallarta,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,Pto. Vallarta,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,Pto. Vallarta,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Salida,AIFA,Pto. Vallarta,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Salida,AIFA,La Paz,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Salida,AIFA,La Paz,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,La Paz,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,La Paz,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Salida,AIFA,La Paz,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Salida,AIFA,Los Cabos,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Salida,AIFA,Los Cabos,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,Los Cabos,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,Los Cabos,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Salida,AIFA,Los Cabos,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Salida,AIFA,Oaxaca,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Salida,AIFA,Oaxaca,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,Oaxaca,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,Oaxaca,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Salida,AIFA,Oaxaca,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Salida,AIFA,Pto. Escondido,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Salida,AIFA,Pto. Escondido,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,Pto. Escondido,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,Pto. Escondido,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Salida,AIFA,Pto. Escondido,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Marzo,3,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Abril,4,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Mayo,5,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Junio,6,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Julio,7,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Agosto,8,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Llegada,Cancún,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Marzo,3,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Abril,4,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Mayo,5,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Junio,6,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Julio,7,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Agosto,8,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Octubre,10,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Noviembre,11,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Diciembre,12,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2023,Enero,1,Llegada,Tijuana,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Agosto,8,Llegada,Huatulco,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Septiembre,9,Llegada,Huatulco,AIFA,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
